trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",30,0,-33.58110674683119,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",35,20,-10.028749095691028,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",20,0,-23.257551562285087,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,6,21.35481165616521,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",25,16,12.932098036999918,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",20,8,14.132252721178954,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",20,14,-3.272651678807858,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.37160171437460887}",30,16,2.501389339879245,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3641696800871167}",25,20,6.953025396762029,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.35688628648537435}",20,10,-23.777601941558668,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.34974856075566685}",20,11,-11.37095747711983,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.3427535895405535}",20,9,10.376045655930275,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.33589851774974244}",20,0,-10.534116065426778,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",20,0,-46.5420942655174,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",20,0,-81.0947353537835,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",1
